Company Name,Partner Matched,Service Type,Referral Fee Structure,Estimated Deal Size,Probability Score,Next Step,Notes
Apptronik,Judy Security,IT/Cybersecurity,$5K-10K (10-15%),$50K+ project,High (75%),Draft intro email,Fast-growing robotics - needs security
NinjaOne,Lyons HR,HR/Payroll,$3K-5K (10%),$30K annual,Medium (60%),Find People Ops contact,Hiring 200+ employees
Mercor,Burkland Associates,Fractional CFO/Legal,$3K-5K (10%),$15K services,Medium (55%),LinkedIn outreach,AI recruiting - employment law needs
Together AI,Kruze Consulting,Accounting/CFO,$5K-10K (10-15%),$50K+ annual,High (80%),Research finance lead,$305M raised - needs sophisticated accounting
Harvey,CFO Advisors,CFO/Strategy,$5K-8K (10-15%),$40K+ annual,High (75%),Find COO contact,AI legal - needs operational CFO
Listen Labs,ProfitSpear,Fractional CFO,$2K-4K (10%),$10K annual,Medium (50%),Website inquiry,$27M Series A - early stage needs
Depict.ai,SmartSites,Marketing/Growth,$2K-3K (10-15%),$8K project,Medium (45%),Find CMO contact,E-commerce AI - needs marketing help
Fabric,Dataprise,IT/Cloud Services,$5K-8K (10-15%),$30K+ annual,High (70%),Research CTO needs,$293M raised - cloud infrastructure
Pogo,Melio,Payments/Accounting,$2K-4K (10%),$10K annual,Medium (50%),Find finance lead,FinTech product - needs accounting
Traba,HRDelivered,PEO/HR,$4K-6K (10%),$20K annual,Medium (65%),Find Head of Ops,Industrial staffing - HR complexity
